Feature Title,Feature Brief,Feature Group,Plugin,Feature Page,Feature Page URL
"A zero-value subscription per subscription product inside a box, so per-product entitlements keep working","Creates linked zero-value child subscriptions for subscription products inside a box, preserving product-specific access and entitlements without separate billing.",Products & checkout,ArraySubs Pro,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
"Renewals reproduce the exact box the customer built (contents, quantities, freebies & inputs at the frozen price)","Copies the purchased box's frozen products, quantities, gifts, discounts, and customer inputs into every renewal order for consistent fulfillment and pricing.",Products & checkout,ArraySubs Pro,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
"Merchant-curated subscription bundles (fixed contents, one Add to Cart, one recurring price)","Sells a merchant-defined product set for one recurring total, supports fixed or percentage bundle discounts, and creates linked zero-value child records.",Products & checkout,ArraySubs Pro,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
Installment / split payments on a fixed-price product,Coming soon: planned installment scheduling will divide a fixed product price across multiple payments; no active implementation exists in the current plugins.,Products & checkout,ArraySubs Pro,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
Automatic off-session renewals via Stripe (saved cards),"Stores Stripe payment methods and charges renewals off-session through ArraySubs-managed billing, with PaymentIntent, webhook, card-lifecycle, and SCA support.",Payment gateways,ArraySubs Pro,"Take recurring payments with Stripe, PayPal, Paddle, Mollie, or any WooCommerce gateway",/product/arraysubs/features/payment-gateways/
Automatic renewals via PayPal billing agreements,"Creates PayPal billing agreements so PayPal controls recurring charges and reports renewal, cancellation, dispute, and payment events back through webhooks.",Payment gateways,ArraySubs Pro,"Take recurring payments with Stripe, PayPal, Paddle, Mollie, or any WooCommerce gateway",/product/arraysubs/features/payment-gateways/
"Automatic renewals via Paddle (native VAT, merchant of record)","Uses Paddle as merchant of record for hosted checkout, automatic renewals, product synchronization, tax and VAT handling, and webhook-driven subscription updates.",Payment gateways,ArraySubs Pro,"Take recurring payments with Stripe, PayPal, Paddle, Mollie, or any WooCommerce gateway",/product/arraysubs/features/payment-gateways/
Automatic renewals via Mollie (card & SEPA Direct Debit mandates),"Uses Mollie card or SEPA mandates for automatic renewals, with ArraySubs-managed scheduling, hosted payments, webhook confirmation, and mandate updates.",Payment gateways,ArraySubs Pro,"Take recurring payments with Stripe, PayPal, Paddle, Mollie, or any WooCommerce gateway",/product/arraysubs/features/payment-gateways/
"SCA / 3D Secure handling, off-session for renewals","Handles required customer authentication during initial payment or payment-method setup, then performs supported renewal charges off-session without repeating 3D Secure.",Payment gateways,ArraySubs Pro,"Take recurring payments with Stripe, PayPal, Paddle, Mollie, or any WooCommerce gateway",/product/arraysubs/features/payment-gateways/
Delayed-settlement renewals tracked to completion (SEPA Direct Debit),"Keeps SEPA renewals pending until Mollie confirms settlement, then finalizes or fails the renewal without granting premature paid status.",Payment gateways,ArraySubs Pro,"Take recurring payments with Stripe, PayPal, Paddle, Mollie, or any WooCommerce gateway",/product/arraysubs/features/payment-gateways/
Missed-webhook reconciliation sweep for unconfirmed renewals,"Reconciles automatic-payment renewals whose webhook confirmation was missed, comparing remote gateway state before safely updating local orders and subscriptions.",Payment gateways,ArraySubs Pro,"Take recurring payments with Stripe, PayPal, Paddle, Mollie, or any WooCommerce gateway",/product/arraysubs/features/payment-gateways/
Double-charge protection on interrupted renewal attempts,"Uses idempotency, renewal locks, stored gateway references, and webhook deduplication to prevent interrupted or repeated renewal attempts from charging twice.",Payment gateways,ArraySubs Pro,"Take recurring payments with Stripe, PayPal, Paddle, Mollie, or any WooCommerce gateway",/product/arraysubs/features/payment-gateways/
Automatic retry of failed renewals (dunning),"Schedules controlled retry attempts for failed automatic renewals, records recovery activity, sends notices, and stops when payment succeeds or retry policy is exhausted.",Subscription operations,ArraySubs Pro,Run WooCommerce recurring billing from first invoice to final refund,/product/arraysubs/features/billing-renewals-and-refunds/
Auto-downgrade to a fallback plan instead of cancelling,"Moves an unrecovered subscription to its configured fallback plan, preserving the customer relationship and updating access instead of cancelling outright.",Subscription operations,ArraySubs Pro,Run WooCommerce recurring billing from first invoice to final refund,/product/arraysubs/features/billing-renewals-and-refunds/
Flexible renewal sync (align renewals to one date for batch billing),"Aligns renewals to cycle boundaries and selects full, prorated, or next-cycle first charges according to product-specific signup-day segments.",Subscription operations,ArraySubs Pro,Run WooCommerce recurring billing from first invoice to final refund,/product/arraysubs/features/billing-renewals-and-refunds/
"Per-box renewal-sync segment plan (own signup-day segments, or follow the store default)","Lets each box override the store default with its own signup-day segments, first-charge behavior, and calendar-aligned renewal schedule.",Subscription operations,ArraySubs Pro,Run WooCommerce recurring billing from first invoice to final refund,/product/arraysubs/features/billing-renewals-and-refunds/
"Let customers renew early, before the due date","Lets eligible customers pay the next renewal before its due date, creating and processing the renewal while advancing the subscription schedule once.",Subscription operations,ArraySubs Pro,Run WooCommerce recurring billing from first invoice to final refund,/product/arraysubs/features/billing-renewals-and-refunds/
Self-service payment-method update,"Lets customers replace the stored payment method for supported automatic gateways, updating the subscription's remote agreement, mandate, or token without staff assistance.",Subscription operations,ArraySubs Pro,Give subscribers a self-service portal in My Account,/product/arraysubs/features/customer-portal/
Gate access by per-plan feature entitlement,"Uses Feature Manager entitlement values as access-rule conditions, including numeric comparisons and aggregation across qualifying active subscriptions.",Member experience,ArraySubs Pro,Define the features and entitlements behind every subscription plan,/product/arraysubs/features/feature-manager/
Multi-login prevention (limit concurrent sessions per account),Limits concurrent account sessions globally or by conditional plan rules; new login succeeds while the oldest excess session is invalidated.,Site access toolkit,ArraySubs Pro,Give subscribers a self-service portal in My Account,/product/arraysubs/features/customer-portal/
Store credit wallet with balances & transaction history,"Maintains subscription and customer credit balances with immutable transaction history, applies available credit at checkout, and exposes wallet details in My Account.",Retention & revenue,ArraySubs Pro,Give customers a store credit wallet inside WooCommerce,/product/arraysubs/features/store-credit/
Refund an order to store credit instead of cash,"Converts eligible full, partial, or prorated refunds into store credit, increasing the customer wallet while recording the originating order and refund transaction.",Retention & revenue,ArraySubs Pro,Give customers a store credit wallet inside WooCommerce,/product/arraysubs/features/store-credit/
Sell prepaid credit packs with an optional bonus percentage,Sells dedicated credit-pack products that add the purchase amount plus an optional bonus percentage to the customer's wallet after payment.,Retention & revenue,ArraySubs Pro,Give customers a store credit wallet inside WooCommerce,/product/arraysubs/features/store-credit/
Credit expiry + Added / Used / Expiring / Expired emails,"Expires credit according to configured rules and sends separate Added, Used, Expiring, and Expired WooCommerce emails with balance and transaction context.",Retention & revenue,ArraySubs Pro,Give customers a store credit wallet inside WooCommerce,/product/arraysubs/features/store-credit/
Recurring donations & crowdfunding contributions,"Coming soon: planned recurring donation and crowdfunding tools are listed in the feature index, but no active provider exists in core or Pro.",Retention & revenue,ArraySubs Pro,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
Activity audit trail + scheduled-job logs,"Records who changed subscription data and exposes scheduled-job runs, statuses, arguments, failures, and timing for operational investigation.",Analytics & infrastructure,ArraySubs Pro,Keep an audit trail on every WooCommerce subscription,/product/arraysubs/features/audits-and-logs/
Member Insight: one unified customer dashboard,"Combines customer profile, subscriptions, orders, spending, refunds, credit, entitlements, notes, and support actions into one searchable staff dashboard.",Member experience,ArraySubs Pro,Subscription analytics that live inside WooCommerce,/product/arraysubs/features/analytics/
Gateway Health: webhook status & connection monitoring,"Displays gateway availability, configuration, webhook status, connected subscriptions, recent events, and connection problems for supported automatic payment providers.",Analytics & infrastructure,ArraySubs Pro,"Take recurring payments with Stripe, PayPal, Paddle, Mollie, or any WooCommerce gateway",/product/arraysubs/features/payment-gateways/
Per-gateway capability notes explaining what each provider can't do,"Explains gateway-specific limitations such as carts, cycles, trials, switching, renewal ownership, and payment updates so merchants can choose compatible workflows.",Analytics & infrastructure,ArraySubs Pro,"Take recurring payments with Stripe, PayPal, Paddle, Mollie, or any WooCommerce gateway",/product/arraysubs/features/payment-gateways/
Simple subscription products (one recurring price),"Adds one recurring price and schedule to a standard simple WooCommerce product, with optional length, trial, signup fee, and renewal-price rules.",Products & checkout,ArraySubs,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
"Variable subscriptions with per-plan price, cycle & trial","Lets every variation define its own recurring price, billing cycle, duration, trial, signup fee, and later renewal price under one product.",Products & checkout,ArraySubs,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
Free trials before the first charge,Delays the first recurring charge while granting trial status and access; an optional signup fee can still be collected at checkout.,Products & checkout,ArraySubs,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
One-time signup / setup fees at checkout,Adds a one-time checkout fee for setup or enrollment; it appears separately on the initial order and never repeats on renewals.,Products & checkout,ArraySubs,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
Introductory price that changes on renewal,"Charges an introductory recurring amount for a configured number of payments, then switches future renewals to the stored replacement price.",Products & checkout,ArraySubs,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
"Lifetime deals (one payment, ongoing access, no renewals)","Creates ongoing access from one payment, disables renewal scheduling, and fixes the billing interval because no future recurring charge exists.",Products & checkout,ArraySubs,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
One-click / direct-to-checkout purchase URLs,"Clears the cart and sends eligible purchases directly to checkout according to store mode, with optional cart-page bypass and custom button text.",Products & checkout,ArraySubs,Build a custom WooCommerce checkout for subscriptions,/product/arraysubs/features/checkout-builder/
Coupons on subscriptions (recurring discounts & cycle limits),"Applies WooCommerce percentage or fixed discounts to subscription charges, tracks optional renewal-cycle limits, and stops discounts after the configured count.",Products & checkout,ArraySubs,Turn any WooCommerce product into a subscription,/product/arraysubs/features/subscriptions-and-recurring-products/
"Purchase guardrails (one-per-customer, mixed-cart & migration rules)","Enforces configurable cart and eligibility rules for mixed products, multiple plans, quantities, billing cycles, repeat trials, and existing-subscription migration.",Products & checkout,ArraySubs,Build a custom WooCommerce checkout for subscriptions,/product/arraysubs/features/checkout-builder/
Recurring renewal billing engine & schedule,"Schedules renewals, generates invoices before due dates, routes manual or automatic payment, advances dates after success, converts trials, and expires completed terms.",Subscription operations,ArraySubs,Run WooCommerce recurring billing from first invoice to final refund,/product/arraysubs/features/billing-renewals-and-refunds/
500+ WooCommerce gateways for checkout & manual renewals,"Uses any compatible WooCommerce gateway for initial checkout and customer-paid renewal invoices, including offline methods, without requiring a gateway-specific subscription integration.",Payment gateways,ArraySubs,"Take recurring payments with Stripe, PayPal, Paddle, Mollie, or any WooCommerce gateway",/product/arraysubs/features/payment-gateways/
WooCommerce tax on checkout and every renewal,"Recalculates WooCommerce taxes from order items, customer addresses, and current tax settings on checkout and each generated renewal order.",Payment gateways,ArraySubs,Run WooCommerce recurring billing from first invoice to final refund,/product/arraysubs/features/billing-renewals-and-refunds/
2-phase grace period keeps access alive on a failed payment,"Keeps overdue subscriptions active, then on hold, before cancellation; paying the outstanding renewal during either grace phase restores service and scheduling.",Subscription operations,ArraySubs,Run WooCommerce recurring billing from first invoice to final refund,/product/arraysubs/features/billing-renewals-and-refunds/
"Customer portal: view subscriptions, invoices & details","Shows each customer's subscriptions, statuses, billing terms, invoices, related orders, notes, refunds, shipping, and available actions inside WooCommerce My Account.",Subscription operations,ArraySubs,Give subscribers a self-service portal in My Account,/product/arraysubs/features/customer-portal/
Self-service cancel (with undo) and reactivate,"Supports immediate or period-end cancellation, required reasons, retention offers, undoing scheduled cancellation, and reactivation when policy and status allow.",Subscription operations,ArraySubs,Give subscribers a self-service portal in My Account,/product/arraysubs/features/customer-portal/
Pause / vacation mode without cancelling,"Places eligible subscriptions on hold for a chosen vacation period, blocks renewal generation, schedules resumption, and lets customers resume early.",Subscription operations,ArraySubs,Give subscribers a self-service portal in My Account,/product/arraysubs/features/customer-portal/
Skip the next renewal and keep the schedule,"Moves the next payment date forward by selected billing cycles, prevents invoices for skipped periods, and supports undo before the renewal cutoff.",Subscription operations,ArraySubs,Give subscribers a self-service portal in My Account,/product/arraysubs/features/customer-portal/
"Upgrade, downgrade & crossgrade between plans","Moves customers between configured upgrade, downgrade, or crossgrade targets while keeping one subscription record, history, dates, access, and gateway context.",Subscription operations,ArraySubs,Give subscribers a self-service portal in My Account,/product/arraysubs/features/customer-portal/
"3 proration methods (charge now, at renewal, or none)","Handles plan changes by charging or crediting immediately, applying the switch at renewal, or changing without adjustment, with configurable rounding and direction fees.",Subscription operations,ArraySubs,Give subscribers a self-service portal in My Account,/product/arraysubs/features/customer-portal/
"Gate pages, posts & any custom post type","Restricts individual posts, pages, archives, taxonomies, and custom post types with shared membership conditions, denial actions, and optional schedules.",Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
"Restrict by subscription, plan or product purchased","Evaluates active subscriptions, specific products, and variations as reusable conditions that drive content, commerce, download, role, styling, and session rules.",Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
Restrict by WordPress role,Uses WordPress roles as rule conditions and can add or remove roles automatically as qualifying subscription statuses change.,Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
Restrict by lifetime spend or purchase history,"Qualifies customers using purchased products, variations, categories, tags, or lifetime-spend comparisons calculated from WooCommerce order history.",Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
"URL path rules (exact, prefix, contains & regex)","Matches exact, prefix, contains, or regular-expression paths in priority order, then redirects, shows a message, returns 403, or requests login.",Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
"Partial, in-page content restriction with teasers","Protects selected sections inside public pages, showing permitted content or a configurable denied message without blocking the entire URL.",Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
Native Elementor container restriction,"Adds ArraySubs restriction controls to Elementor containers, using the shared condition engine to show or hide layout sections for each visitor.",Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
Native Gutenberg block restriction,Provides a nested Gutenberg restriction block that evaluates shared membership conditions and renders protected inner blocks or a denial message.,Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
Nested AND/OR advanced condition builder,"Combines reusable conditions in nested AND/OR groups, enabling precise audiences such as active subscribers who also meet purchase, spend, role, or entitlement requirements.",Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
Scheduled content dripping (days-since-join or fixed date),"Delays qualifying rule access by days, weeks, or months from the earliest matching subscription start date for scheduled content release.",Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
Gated / restricted file downloads,"Provisions downloadable files to qualifying customers, controls file limits and expiry, and exposes protected downloads through WooCommerce My Account.",Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
"Shop & product-catalog restrictions (redirect, 404, block purchase)","Controls product visibility and purchasing by rule, with redirect, 404, or blocked-purchase actions enforced across product pages, carts, and Store API requests.",Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
Member-only discounts and pricing,"Applies qualifying fixed or percentage discounts per item or cart, resolving overlaps to the best customer price while preserving WooCommerce tax calculations.",Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
Member-only free shipping on every paid shipping method,"Makes otherwise paid shipping methods free when cart and membership conditions match, while leaving already-free methods and nonqualifying carts unchanged.",Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
"Comment reading and posting rules by post type, taxonomy term or specific content","Separately controls comment visibility and posting for targeted content, post types, or taxonomy terms using the shared membership condition builder.",Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
Per-product or per-order purchase quantity limits for matching or non-matching shoppers,"Caps quantities per product or whole order for matching or nonmatching shoppers, enforcing the strictest applicable limit in classic and block carts.",Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
Member Styling: conditional body classes and custom CSS on the storefront or wp-admin,Adds conditional body classes and sanitized custom CSS on storefront or wp-admin when shared membership conditions match the current user.,Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
Logged-in / guest and negative subscription or variation conditions,"Targets guests, logged-in users, customers lacking selected subscriptions, or customers lacking specific variations within the shared condition builder.",Member experience,ArraySubs,Restrict WooCommerce content and products by membership,/product/arraysubs/features/member-access-control/
Guided 9-step setup wizard + settings import/export,"Guides nine setup decisions, applies profile-based defaults, reviews changes before saving, and exports or selectively imports nonsecret configuration as JSON.",Site access toolkit,ArraySubs,Set up WooCommerce subscriptions with a guided wizard,/product/arraysubs/features/easy-setup/
Custom profile fields & avatars on My Account,"Adds six custom field types and protected avatar uploads to My Account and admin user profiles, storing validated values in WordPress user metadata.",Member experience,ArraySubs,Customize the WooCommerce My Account page for members,/product/arraysubs/features/profile-builder/
"My Account page builder (reorder, rename, custom endpoints)","Reorders, renames, or hides WooCommerce My Account items and adds custom endpoint pages backed by searchable WordPress content.",Site access toolkit,ArraySubs,Give subscribers a self-service portal in My Account,/product/arraysubs/features/customer-portal/
"Shortcodes for account links, gated content & forms","Provides login, logout, user-data, visibility, subscription-gating, and Pro credit-purchase shortcodes for pages, builders, widgets, or templates.",Member experience,ArraySubs,Customize the WooCommerce My Account page for members,/product/arraysubs/features/profile-builder/
Hide the WordPress admin bar from customers,Hides the frontend WordPress toolbar for configured customer roles while administrators retain their normal admin-bar shortcuts.,Site access toolkit,ArraySubs,Customize the WooCommerce My Account page for members,/product/arraysubs/features/profile-builder/
Redirect customers away from wp-admin,"Redirects unauthorized customers away from wp-admin to My Account or 404 while preserving administrators, allowed roles, AJAX, REST, cron, and background processing.",Site access toolkit,ArraySubs,Customize the WooCommerce My Account page for members,/product/arraysubs/features/profile-builder/
Route login & registration through My Account,"Redirects customer-facing wp-login.php visits to WooCommerce My Account or 404 while preserving password reset, verification, logout, and necessary administrator flows.",Site access toolkit,ArraySubs,Customize the WooCommerce My Account page for members,/product/arraysubs/features/profile-builder/
Log in as a customer for support (no password needed),"Lets administrators impersonate nonadmin customers from users, orders, subscriptions, or member profiles, with a persistent warning bar and one-click return.",Site access toolkit,ArraySubs,Keep an audit trail on every WooCommerce subscription,/product/arraysubs/features/audits-and-logs/
"Cancellation retention flow (capture reason, present save offers)","Intercepts cancellation with reason capture and eligible discount, pause, downgrade, or contact offers before final confirmation.",Retention & revenue,ArraySubs,Save WooCommerce subscriptions at the moment of cancellation,/product/arraysubs/features/retention-flow-builder/
Retention analytics (offer performance & cancel reasons),"Reports cancellation reasons, accepted offers, churn trends, saved subscriptions, and preserved revenue with filters and activity history.",Retention & revenue,ArraySubs,Save WooCommerce subscriptions at the moment of cancellation,/product/arraysubs/features/retention-flow-builder/
"AI churn risk scoring per subscriber, with reasons & next steps","Uses a configured WordPress AI connector to score subscriber churn risk, explain contributing signals, and recommend prioritized retention actions.",Analytics & infrastructure,ArraySubs,Subscription analytics that live inside WooCommerce,/product/arraysubs/features/analytics/
"Central subscription management (view, edit, bulk actions)","Provides searchable, filterable subscription lists, detailed records, status and field editing, bulk actions, related orders, and lifecycle controls for staff.",Subscription operations,ArraySubs,Manage every WooCommerce subscription from one admin dashboard,/product/arraysubs/features/manage-subscriptions/
Export subscriptions to CSV or JSON,Exports the current subscription-status view to Excel-compatible CSV or returns the same operational dataset as JSON through the REST endpoint.,Subscription operations,ArraySubs,Manage every WooCommerce subscription from one admin dashboard,/product/arraysubs/features/manage-subscriptions/
"Create a subscription from WP-Admin (migrations, phone orders)","Creates subscription records manually for migrations, phone orders, or exceptions, with editable customer, product, pricing, schedule, trial, renewal, and address data.",Subscription operations,ArraySubs,Manage every WooCommerce subscription from one admin dashboard,/product/arraysubs/features/manage-subscriptions/
"Prorated, full & partial refunds","Issues full, partial, or line-level prorated refunds against linked orders and records refund amounts, reasons, and history on the subscription.",Subscription operations,ArraySubs,Run WooCommerce recurring billing from first invoice to final refund,/product/arraysubs/features/billing-renewals-and-refunds/
Subscription notes & full lifecycle timeline,"Builds a permanent timeline from lifecycle, billing, trial, plan, coupon, gateway, and customer events alongside private or customer-visible admin notes.",Subscription operations,ArraySubs,Keep an audit trail on every WooCommerce subscription,/product/arraysubs/features/audits-and-logs/
"Automated lifecycle emails (signup, renewal, failure, cancel)","Sends WooCommerce-native customer and administrator messages for signup, trials, renewals, payment outcomes, recovery, expiry, cancellation, retention, and operational alerts.",Analytics & infrastructure,ArraySubs,Send every subscription email from WooCommerce automatically,/product/arraysubs/features/emails/
"Subscription & revenue analytics (MRR, churn, ARPU, retention)","Combines core reports with Pro KPI and WooCommerce Analytics views for MRR, churn, ARPU, risk, trials, retention, revenue, customers, orders, and products.",Analytics & infrastructure,ArraySubs,Subscription analytics that live inside WooCommerce,/product/arraysubs/features/analytics/
"AI revenue forecast: MRR & ARR projected 6, 12 or 24 months","Uses historical subscription movements and configured AI analysis to project MRR and ARR over 6, 12, or 24 months with explainable assumptions.",Analytics & infrastructure,ArraySubs,Subscription analytics that live inside WooCommerce,/product/arraysubs/features/analytics/
"Renewal, portal & access troubleshooting logs","Surfaces separate renewal, portal-action, access-conflict, payment, and shipping failure logs so staff can filter errors and trace affected records.",Analytics & infrastructure,ArraySubs,Keep an audit trail on every WooCommerce subscription,/product/arraysubs/features/audits-and-logs/
HPOS (high-performance order storage) compatible,"Uses WooCommerce order APIs and HPOS-compatible queries for subscription, renewal, refund, and analytics workflows without depending on legacy post storage.",Subscription operations,ArraySubs,Manage every WooCommerce subscription from one admin dashboard,/product/arraysubs/features/manage-subscriptions/
